author,idn,place,recipient,title,year,location,point,lat,lon
"Schnetz, Wolf Peter",998517437,München u.a.,"Heilbut, Iwan",Korrespondenz,1964-1965,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Schultes, Christl",998570346,München u.a.,"Heilbut, Iwan",Korrespondenz,1964-1968,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Kirchhoff, Helma",996645969,München u.a.,"Heilbut, Iwan",Korrespondenz,1953-1953,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Leibl, Herta",996778241,München u.a.,"Heilbut, Iwan",Korrespondenz,1951-1957,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Heilbut, Iwan",999945793,München u.a.,"Ude, Karl",Korrespondenz,1955-1965,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Heilbut, Iwan",999956566,München u.a.,"Wicclair, Walter",Korrespondenz,1962-1969,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Heilbut, Iwan",1000071804,München u.a.,"Wolf, Eleanor B.",Korrespondenz,1965-1968,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Christophel, Friedrich Wilhelm",994364571,München u.a.,"Heilbut, Iwan",Korrespondenz,1948-1951,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Dammann, Anna",994448104,München u.a.,"Heilbut, Iwan",Korrespondenz,1957-1958,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Heilbut, Iwan",996742255,München u.a.,"Vietta, Egon",Korrespondenz,1952-1952,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Heilbut, Iwan",997071885,München u.a.,"Maximowna, Ita",Korrespondenz,1965-1969,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Gaetke, Eleonore",995037779,München u.a.,"Heilbut, Iwan",Korrespondenz,1951-1963,"A, Olympisches Dorf, Bezirksteil Am Riesenfeld, Stadtbezirk 11 Milbertshofen-Am Hart, München, Oberbayern, Bayern, 80809, Deutschland","(48.1791699, 11.5541431, 0.0)",48.1791699,11.5541431
"Lothar, Frank",996939121,Berlin,"Heilbut, Iwan",Korrespondenz,1957-1957,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Tschich, Irmgard",996939377,Berlin,"Heilbut, Iwan",Korrespondenz,1957-1959,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Lustig, Peter",996963960,Berlin,"Heilbut, Iwan",Korrespondenz,1946-1946,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Mooshammer, Margarete",99710824X,Berlin,"Heilbut, Iwan",Korrespondenz,1957-1957,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",993802591,Berlin,"Herda, Wolfgang",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",994344538,Berlin,"Carreras, Maria",Korrespondenz,1960-1964,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",998779814,Berlin,"Struß, Dieter",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",999298615,Berlin,"Sternfeld, Wilhelm",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",999478540,Berlin,"Behrend, Horst",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",995890730,Berlin,"Guajardo, V. L.",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",996197850,Berlin,"Hell, Heinz",Korrespondenz,1966-1966,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",996221123,Berlin,"Hermoni, Šelômît",Korrespondenz,1960-1967,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",99710001X,Berlin,"Molzahn, Loretto",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",99771171X,Berlin,"Noeggerath, Marga",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",997711922,Berlin,"Reinholz, Franz",Korrespondenz,1960-1971,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Wicclair, Walter",999956477,Berlin,,Korrespondenz,1958-1969,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",993000851,Berlin,"Ropertz, Hans-Rolf",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",99340247X,Berlin,"Szypula, Rudolf",Korrespondenz,1959-1959,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Huder, Walther",993001580,Berlin,"Heilbut, Iwan",Korrespondenz,1966-1968,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Altenberg, Paul",993011233,Berlin,"Heilbut, Iwan",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Jewell, R. L.",993497209,Berlin,"Heilbut, Iwan",Korrespondenz,1968-1968,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Engert, Fritz",993497624,Berlin,"Heilbut, Iwan",Korrespondenz,1955-1955,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Aust, Hertha",993504531,Berlin,"Heilbut, Iwan",Korrespondenz,1959-1959,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Nagel, Claus Dieter",99351135X,Berlin,"Heilbut, Iwan",Korrespondenz,1971-1971,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Steinberg, ...",993621716,Berlin,"Heilbut, Iwan",Korrespondenz,1958-1958,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Stiebler, Rosemarie",99362345X,Berlin,"Heilbut, Iwan",Korrespondenz,1960-1970,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Bluhm, Walter",993773265,Berlin,"Heilbut, Iwan",Korrespondenz,1957-1957,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Bruer, Ursula",994252005,Berlin,"Heilbut, Iwan",Korrespondenz,1964-1964,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Engesser, Klaus",994252919,Berlin,"Heilbut, Iwan",Korrespondenz,1965-1965,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Kundler, Herbert",998371033,Berlin,"Heilbut, Iwan",Korrespondenz,1952-1970,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Schaeffers, Willi",99839422X,Berlin,"Heilbut, Iwan",Korrespondenz,1957-1958,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Braun, Alfred",998770779,Berlin,"Heilbut, Iwan",Korrespondenz,1955-1970,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Hübner, Elisabeth",996401636,Berlin,"Heilbut, Iwan",Korrespondenz,1959-1959,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Urbach, Ilse",996733361,Berlin,,Korrespondenz,1957-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Landers, Margot",996741429,Berlin,"Heilbut, Iwan",Korrespondenz,1954-1954,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Lemmer, Ernst",996787372,Berlin,"Heilbut, Iwan",Korrespondenz,1958-1958,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heering, Harry",1000509915,Berlin,"Heilbut, Charlotte",Korrespondenz,1955-1961,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Cahnman, Werner Jacob",994340869,Berlin,"Heilbut, Iwan",Korrespondenz,1955-1955,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Henning, Otto",999479059,Berlin,"Heilbut, Iwan",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Drewitz, Ingeborg",994664575,Berlin,"Heilbut, Iwan",Korrespondenz,1970-1970,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Elsberg, Heinz",994768982,Berlin,"Heilbut, Iwan",Korrespondenz,1959-1970,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",996596534,Berlin,"Jiptner, Lou",Korrespondenz,1964-1971,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",996601503,Berlin,"Keller, Josef",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Heilbut, Iwan",996785760,Berlin,"Leiser, Erwin",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Treitel, Miriam",999363700,Berlin,"Heilbut, Iwan",Korrespondenz,1958-1958,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Karsch, Walther",999490133,Berlin,"Heilbut, Iwan",Korrespondenz,1957-1957,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Waller, Gertrud",999646281,Berlin,"Heilbut, Iwan",Korrespondenz,1959-1969,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Grant, Rita J.",995868751,Berlin,"Heilbut, Iwan",Korrespondenz,1960-1960,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Schuster, Hanns",996006923,Berlin,"Heilbut, Iwan",Korrespondenz,1961-1961,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Herrenkind, Otto",996221905,Berlin,"Heilbut, Iwan",Korrespondenz,1965-1965,"Berlin, 10117, Deutschland","(52.5170365, 13.3888599, 0.0)",52.5170365,13.3888599
"Luschnat, David",996951008,Paris u.a.,"Heilbut, Iwan",Korrespondenz,1946-1967,"Eirunepé, Paris, Microrregião de Juruá, Mesorregião Sudoeste Amazonense, Amazonas, Região Norte, Brasil","(-6.710835, -69.895951, 0.0)",-6.710835,-69.895951
"Goll, Yvan",995867984,Paris u.a.,"Heilbut, Iwan",Korrespondenz,1948-1948,"Eirunepé, Paris, Microrregião de Juruá, Mesorregião Sudoeste Amazonense, Amazonas, Região Norte, Brasil","(-6.710835, -69.895951, 0.0)",-6.710835,-69.895951
"Dietschi, ...",996966781,Luzern,"Heilbut, Iwan",Korrespondenz,1967-1967,"Luzern, Schweiz/Suisse/Svizzera/Svizra","(47.0505452, 8.3054682, 0.0)",47.0505452,8.3054682
"Maass, Joachim",996981810,"South Hadley, Mass.","Heilbut, Iwan",Korrespondenz,1945-1946,"South Hadley, Hampshire County, Massachusetts, 01075, United States of America","(42.2584245, -72.5745332, 0.0)",42.2584245,-72.5745332
"Mähl, Albert",996989145,Hamburg,"Heilbut, Iwan",Korrespondenz,1948-1948,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Meierott, Hans",997088370,Hamburg,,Korrespondenz,1968-1971,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Böer, Friedrich",997711817,Hamburg,"Heilbut, Iwan",Korrespondenz,1958-1963,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Nossack, Hans Erich",997720999,Hamburg,"Heilbut, Iwan",Korrespondenz,1948-1948,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",993752470,Hamburg,"Gerber, Hela",Korrespondenz,1954-1954,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",993800475,Hamburg,"Bothas, Dagmar",Korrespondenz,1954-1954,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",99433494X,Hamburg,"Stercken, Hans",Korrespondenz,1971-1972,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",995867615,Hamburg,"Goes, Albrecht",Korrespondenz,1954-1954,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",99592614X,Hamburg,"Vogel, Paul O.",Korrespondenz,1954-1966,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",995932433,Hamburg,"Hampe, Johann Christoph",Korrespondenz,1954-1954,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",997720859,Hamburg,"Auburtin, A.",Korrespondenz,1954-1954,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",998354899,Hamburg,"Rimpel, Alexandra",Korrespondenz,1954-1958,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Haas, Helmuth de",999935771,Hamburg,"Heilbut, Iwan",Korrespondenz,1966-1971,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Wieman, E.",999959506,Hamburg,"Heilbut, Iwan",Korrespondenz,1954-1958,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Wolff, Hans",1000079457,Hamburg,"Heilbut, Iwan",Korrespondenz,1951-1951,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Krüger, Wolfgang",1000084094,Hamburg,"Heilbut, Iwan",Korrespondenz,1948-1951,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",993005942,Hamburg,"Sinhuber, Bartel F.",Korrespondenz,1969-1969,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Albers, Heinz",993005012,Hamburg,"Heilbut, Iwan",Korrespondenz,1966-1969,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Kleeman, Rita Halle",1001128176,Hamburg,"Heilbut, Iwan",Korrespondenz,1963-1970,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Kapischke, Reinhard",993401058,Hamburg,"Heilbut, Iwan",Korrespondenz,1959-1966,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Asmus, Johannes",993502040,Hamburg,"Heilbut, Iwan",Korrespondenz,1964-1964,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Knaus, Albrecht",996389725,Hamburg,"Heilbut, Iwan",Korrespondenz,1951-1969,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Jennerich, Louise",996528776,Hamburg,"Heilbut, Iwan",Korrespondenz,1951-1952,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Keller, Josef",996601589,Hamburg,"Heilbut, Iwan",Korrespondenz,1951-1951,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Kruttke, Monika",994361823,Hamburg,"Heilbut, Iwan",Korrespondenz,1968-1968,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Lippert, Albert",994467001,Hamburg,"Heilbut, Iwan",Korrespondenz,1954-1954,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",996610723,Hamburg,"Kasper, Ottilie",Korrespondenz,1963-1964,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",996630252,Hamburg,"Kerr, Alfred",Korrespondenz,1954-1954,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Iwan",996664165,Hamburg,"Koch, Willi August",Korrespondenz,1954-1954,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Seydelmann, Gertrud",999300644,Hamburg,"Heilbut, Iwan",Korrespondenz,1966-1966,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Südhaus, Asta",999318799,Hamburg,"Heilbut, Iwan",Korrespondenz,1957-1957,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Keune, Johannes Angelus",999504630,Hamburg,"Heilbut, Iwan",Korrespondenz,1948-1948,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Friedenthal, Richard",994914334,Hamburg,"Heilbut, Iwan",Korrespondenz,1948-1948,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Wittig, Friedrich",994915500,Hamburg,"Heilbut, Iwan",Korrespondenz,1948-1948,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Lüth, Erich",99592595X,Hamburg,,Korrespondenz,1951-1966,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Harbeck, Anni",995932026,Hamburg,"Heilbut, Iwan",Korrespondenz,1968-1968,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Heilbut, Minna",996075968,Hamburg,"Heilbut, Iwan",Korrespondenz,1941-1941,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Hell, Heinz",99619777X,Hamburg,"Heilbut, Iwan",Korrespondenz,1966-1966,"Hamburg, 20095, Deutschland","(53.550341, 10.000654, 0.0)",53.550341,10.000654
"Mager, Ingeborg",996989935,Haar bei München,"Heilbut, Iwan",Korrespondenz,1964-1964,"Haar, Landkreis München, Oberbayern, Bayern, 85540, Deutschland","(48.1062182, 11.7289603, 0.0)",48.1062182,11.7289603
"Mahler-Werfel, Alma Maria",996990178,"Beverly Hills, Calif.","Heilbut, Iwan",Korrespondenz,1948-1948,"Beverly Hills, Los Angeles County, California, United States","(34.0696501, -118.3963062, 0.0)",34.0696501,-118.3963062
"Frank, Bruno",994910517,"Beverly Hills, Calif.",,Korrespondenz,1940-1948,"Beverly Hills, Los Angeles County, California, United States","(34.0696501, -118.3963062, 0.0)",34.0696501,-118.3963062
"Mainzer, Otto",996994432,"Chicago, Ill.","Heilbut, Iwan",Korrespondenz,1943-1967,"South Chicago, Chicago, Cook County, Illinois, 60617, United States of America","(41.7345874, -87.5513222, 0.0)",41.7345874,-87.5513222
"Reich, Hanns Leo",998322865,"Chicago, Ill.","Heilbut, Iwan",Korrespondenz,1944-1944,"South Chicago, Chicago, Cook County, Illinois, 60617, United States of America","(41.7345874, -87.5513222, 0.0)",41.7345874,-87.5513222
"Cahnman, Werner Jacob",994340699,"Chicago, Ill.","Heilbut, Iwan",Korrespondenz,1942-1942,"South Chicago, Chicago, Cook County, Illinois, 60617, United States of America","(41.7345874, -87.5513222, 0.0)",41.7345874,-87.5513222
"Sternthal, Friedrich",999298747,"Chicago, Ill.","Heilbut, Iwan",Korrespondenz,1944-1949,"South Chicago, Chicago, Cook County, Illinois, 60617, United States of America","(41.7345874, -87.5513222, 0.0)",41.7345874,-87.5513222
"Mann, Erika",996995315,Kilchberg,,Korrespondenz,1965-1965,"Kilchberg, Bezirk Horgen, Zürich, 8802, Schweiz/Suisse/Svizzera/Svizra","(47.3225316, 8.5459483, 0.0)",47.3225316,8.5459483
"Mann, Thomas",1022073893,"Pacific Palisades, Calif.","Heilbut, Iwan",Korrespondenz,1944-1944,"Pacific Palisades, Los Angeles, Los Angeles County, California, 90272-3002, United States","(34.0424134, -118.5409551, 0.0)",34.0424134,-118.5409551
"Mannheim, Lucie",996995773,Bad Harzburg,"Heilbut, Iwan",Korrespondenz,1966-1966,"Bad Harzburg, Landkreis Goslar, Niedersachsen, 38667, Deutschland","(51.8831, 10.5643999, 0.0)",51.8831,10.5643999
"Maringer, Karen",1000142280,Hjertingskov,,Korrespondenz,1945-1946,,,,
"Martin, George",997058781,"Staten Island, NY","Heilbut, Iwan",Korrespondenz,1946-1946,"Staten Island, Richmond County, New York, United States of America","(40.5834557, -74.1496048, 0.0)",40.5834557,-74.1496048
"Masereel, Frans",997070951,Nizza,"Heilbut, Iwan",Korrespondenz,1964-1964,"Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France","(43.7009358, 7.2683912, 0.0)",43.7009358,7.2683912
"Mautz, Kurt",99707132X,Bad Godesberg u.a.,"Heilbut, Iwan",Korrespondenz,1948-1949,"A, Alt-Godesberg, Bad Godesberg, Bonn, Regierungsbezirk Köln, Nordrhein-Westfalen, 53177, Deutschland","(50.681041, 7.1589748, 0.0)",50.681041,7.1589748
"Meiershofer, Edel",997088842,Tel Aviv,"Heilbut, Iwan",Korrespondenz,1965-1965,"תל אביב-יפו, מחוז תל אביב, ישראל","(32.0804808, 34.7805274, 0.0)",32.0804808,34.7805274
"Hermoni, Šelômît",1000578917,Tel Aviv,"Heilbut, Charlotte",Korrespondenz,1961-1961,"תל אביב-יפו, מחוז תל אביב, ישראל","(32.0804808, 34.7805274, 0.0)",32.0804808,34.7805274
"Ehrenberg, Hanny",99468245X,Tel Aviv,"Heilbut, Iwan",Korrespondenz,1968-1971,"תל אביב-יפו, מחוז תל אביב, ישראל","(32.0804808, 34.7805274, 0.0)",32.0804808,34.7805274
"Hermoni, Šelômît",996218882,Tel Aviv,"Heilbut, Iwan",Korrespondenz,1960-1967,"תל אביב-יפו, מחוז תל אביב, ישראל","(32.0804808, 34.7805274, 0.0)",32.0804808,34.7805274
"Mell, Max",997090979,Wien,"Heilbut, Iwan",Korrespondenz,1948-1948,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Terwin-Moissi, Johanna",997099135,Wien,"Heilbut, Iwan",Korrespondenz,1957-1957,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Schönwiese, Ernst",997732792,Wien,"Heilbut, Iwan",Korrespondenz,1967-1967,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Werner, Arthur",99995444X,Wien,"Heilbut, Iwan",Korrespondenz,1967-1967,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Wiesenthal, Simon",994632711,Wien,"Heilbut, Iwan",Korrespondenz,1967-1967,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Benedikt, Ernst Martin",993620701,Wien,"Heilbut, Iwan",Korrespondenz,1967-1970,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Bouda, Franz",993776760,Wien,"Heilbut, Iwan",Korrespondenz,1948-1948,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Kinski, Klaus",996644857,Wien,"Heilbut, Iwan",Korrespondenz,1958-1958,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Stercken, Hans",994333935,Wien,"Heilbut, Iwan",Korrespondenz,1954-1954,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Daskaljuk, Paula",994641567,Wien,"Heilbut, Iwan",Korrespondenz,1953-1954,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Stern, Desider",999291831,Wien,"Heilbut, Iwan",Korrespondenz,1966-1970,"Wien, 1010, Österreich","(48.2083537, 16.3725042, 0.0)",48.2083537,16.3725042
"Meyer, William",997098643,"Pittsburgh, Pa.","Heilbut, Iwan",Korrespondenz,1966-1966,"Pittsburgh, Allegheny County, Pennsylvania, United States","(40.4416941, -79.9900861, 0.0)",40.4416941,-79.9900861
"Milch, Werner",997098813,"Marburg, Lahn","Heilbut, Iwan",Korrespondenz,1948-1948,"Lahn, Marburg, Landkreis Marburg-Biedenkopf, Regierungsbezirk Gießen, Hessen, 35037, Deutschland","(50.8193761, 8.7672077, 0.0)",50.8193761,8.7672077
"Mollier, Hans",997099674,[München],"Heilbut, Iwan",Korrespondenz,1965-1965,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
